Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,50,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,52,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,54,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,56,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,58,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,60,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,62,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty222/product/media/images/20211104/10/165490164/287933246/2/2_org_zoom.jpg,11,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/3/3_org_zoom.jpg,12,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/4/4_org_zoom.jpg,13,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,Dokuma Spor Yelek,Spor Yelek Line: Casual Kalıp: Regular Fit Yırtmaç Tipi: İç Astar: Tam Astarlı Yaka: Dik Yaka Karışım: %100 Polyester,REXGOLL,,Yelek,Yelek,TRUE,Renk,lacivert,Size,S,,,,200,shopify,5681,deny,manual,139.87,139.87,TRUE,TRUE,https://www.trendyol.com/ty158/product/media/images/20210810/17/117378705/225327371/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Dokuma-Spor-Yelek,,,,,,,,Renk,lacivert,Size,S,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty157/product/media/images/20210810/17/117378931/225328168/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,lacivert,Size,M,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty157/product/media/images/20210810/17/117378931/225328168/1/1_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,lacivert,Size,L,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty157/product/media/images/20210810/17/117378931/225328168/1/1_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,lacivert,Size,XL,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty157/product/media/images/20210810/17/117378931/225328168/1/1_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,lacivert,Size,XXL,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty157/product/media/images/20210810/17/117378931/225328168/1/1_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,lacivert,Size,3XL,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty157/product/media/images/20210810/17/117378931/225328168/1/1_org_zoom.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,lacivert,Size,4XL,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty157/product/media/images/20210810/17/117378931/225328168/1/1_org_zoom.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,bej,Size,S,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty158/product/media/images/20210810/17/117378705/225327371/1/1_org_zoom.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
Dokuma-Spor-Yelek,,,,,,,,Renk,bej,Size,M,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty158/product/media/images/20210810/17/117378705/225327371/1/1_org_zoom.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,
